Feature,Importance
having_IP_Address_1,26.0
URL_Length_1,11.0
Shortining_Service_1,3.0
double_slash_redirecting_1,4.0
Prefix_Suffix_1,41.0
having_Sub_Domain_0,6.0
having_Sub_Domain_1,27.0
SSLfinal_State_0,22.0
SSLfinal_State_1,46.0
Domain_registeration_length_1,15.0
port_1,2.0
HTTPS_token_1,15.0
Request_URL_1,23.0
URL_of_Anchor_0,53.0
URL_of_Anchor_1,50.0
Links_in_tags_0,25.0
Links_in_tags_1,16.0
SFH_0,12.0
SFH_1,21.0
Abnormal_URL_1,4.0
Redirect_1,5.0
on_mouseover_1,6.0
RightClick_1,3.0
popUpWidnow_1,5.0
Iframe_1,7.0
age_of_domain_1,8.0
DNSRecord_1,26.0
web_traffic_0,27.0
web_traffic_1,21.0
Page_Rank_1,15.0
Google_Index_1,20.0
Links_pointing_to_page_0,9.0
Links_pointing_to_page_1,15.0
Statistical_report_1,2.0
